analysis_name,parameter_name,parameter_unit,elabor_t_lyhend
Kliinilise keemia uuringud,S-Chol 2,mmol/L,"S,P-Chol"
Kliinilise keemia uuringud,S-Chol 3,mmol/L,"S,P-Chol"
Kliinilise keemia uuringud,S-Chol 4,mmol/L,"S,P-Chol"
Kliinilise keemia uuringud,Triglütseriidi,mmol/L,"fS,fP-Trigl"
Kolesterool,Chol.,mmol/L,"S,P-Chol"
Kolesterool,"S-Chol, P-Chol",mmol/L,"S,P-Chol"
Kolesterool,"S-Chol,_P-Chol",mmol/L,"S,P-Chol"
kolesterool,Chol.,mmol/L,"S,P-Chol"
Kolesterool plasmas,P-Chol,mmol/L,"S,P-Chol"
Kolesterool pleuravedelikus,Pf-Chol,mmol/L,PlrF-Chol
Kolesterool seerumis,S-Chol HK:66104,mmol/L,"S,P-Chol"
Kolesterool seerumis,"S-Chol, P-Chol",ng/mL,"S,P-Chol"
Kolesterool seerumis,"S-Chol,_P-Chol",ng/mL,"S,P-Chol"
Korduv glükoos kapillaarverest,Gluc,mmol/L,fcB-Gluc
Kreatiini kinaas,Glomerulaarfiltratsioon - eGFR,"mL/min/1,73m2",eGFR
Kreatiinkinaasi MB isoensüümi mass,Kreatiinkinaasi MB isoensüüm,ng/mL,"S,P-CK-MBm"
Kreatiinkinaasi MB isoensüümi mass,Kreatiinkinaasi MB isoensüüm,ug/L,"S,P-CK-MBm"
Kreatiniin,"fS-Crea, fP-Crea",umol/L,"S,P-Crea"
Kreatiniin,"fS-Crea,_fP-Crea",umol/L,"S,P-Crea"
Kreatiniin,P-Crea,umol/L,"S,P-Crea"
kreatiniin,Crea,umol/L,"S,P-Crea"
Kreatiniini kinaasi MB isoensüümi mass plasmas (Dimension EXL 200),Kreatiniini kinaasi MB isoensüümi mass plasmas,ug/L,"S,P-CK-MBm"
Kreatiniini kinaasi MB isoensüümi mass plasmas (Immulite Plus),Kreatiniini kinaasi MB isoensüümi mass plasmas,ug/L,"S,P-CK-MBm"
Kreatiniini kinaasi MB isoensüümi mass plasmas (Immulite XPi),Kreatiniini kinaasi MB isoensüümi mass plasmas,ug/L,"S,P-CK-MBm"
Kreatiniini kliirens ööpäevases uriinis,Kreatiniini kliirens standartse kehapindala järgi,mL/min/1.73m2,eGFR
Kreatiniin ja eGFR seerumis,Hinnanguline glomerulaafiltratsiooni kiirus,mL/min/1.73m2,eGFR
Kreatiniin ja hinnanguline glomerulaarfiltratsiooni kiirus,S-Crea+eGFR,mL/min/1.73m2,eGFR
Kreatiniin ja mikroalbumiin 24 h uriinis,U-Alb/Crea,mgAlb/mmol/Cre,U-Alb/U-Crea
Kreatiniin paastuseerumis,"fS-Crea, fP-Crea",ng/mL,"S,P-Crea"
Kreatiniin paastuseerumis,"fS-Crea,_fP-Crea",ng/mL,"S,P-Crea"
Kreatiniin paastuseerumis,Kreatiniin paastuplasmas,umol/L,"S,P-Crea"
Kreatiniin vastsündinu plasmas,nP-Crea,umol/L,"S,P-Crea"
Laboratoorne hematoloogia,1 EO#,10E9/L,B-Eo#
Laboratoorne hematoloogia,1 EO%,%,B-Eo%
Laboratoorne hematoloogia,1 HCT,%,B-Hct
Laboratoorne hematoloogia,1 LYMPH%,%,B-Lymph%
Laboratoorne hematoloogia,1 MCH,pg,B-MCH
Laboratoorne hematoloogia,1 MCHC,g/L,B-MCHC
Laboratoorne hematoloogia,1 MCV,fL,B-MCV
Laboratoorne hematoloogia,1 PDW,fL,B-PDW
Laboratoorne hematoloogia,1 PLT,10E9/L,B-Plt
Laboratoorne hematoloogia,1 RDW-CV,%,B-RDW-CV
Laboratoorne hematoloogia,2 EO#,10E9/L,B-Eo#
Laboratoorne hematoloogia,2 EO%,%,B-Eo%
Laboratoorne hematoloogia,2 HCT,%,B-Hct
Laboratoorne hematoloogia,2 LYMPH%,%,B-Lymph%
Laboratoorne hematoloogia,2 MCH,pg,B-MCH
Laboratoorne hematoloogia,2 MCHC,g/L,B-MCHC
Laboratoorne hematoloogia,2 MCV,fL,B-MCV
Laboratoorne hematoloogia,2 PDW,fL,B-PDW
Laboratoorne hematoloogia,2 PLT,10E9/L,B-Plt
Laboratoorne hematoloogia,2 RDW-CV,%,B-RDW-CV
Labori tasulised analüüsid,B-Diff-Baso-%,%,B-Baso%
Labori tasulised analüüsid,B-Diff-Baso-arv,10L,B-Baso#
Labori tasulised analüüsid,B-Diff-Eo-%,%,B-Eo%
Labori tasulised analüüsid,B-Diff-Eo-arv,10L,B-Eo#
Labori tasulised analüüsid,B-Diff-LYMPH-%,%,B-Lymph%
Labori tasulised analüüsid,B-Diff-Mono-%,%,B-Mono%
Labori tasulised analüüsid,B-Diff-Mono-arv,10L,B-Mono#
Labori tasulised analüüsid,E-MCH,pg,B-MCH
Labori tasulised analüüsid,E-MCHC,g/L,B-MCHC
Labori tasulised analüüsid,E-MCV,fL,B-MCV
Laktoosi taluvuse proov,fP-Gluc 0 min,mmol/L,"fS,fP-Gluc 0 min (pre Lactose PO)"
Laktoosi taluvuse proov,P-Gluc 20 min,mmol/L,"S,P-Gluc 20 min (post 50g Lactose PO)"
Laktoosi taluvuse proov,P-Gluc 40 min,mmol/L,"S,P-Gluc 40 min (post 50g Lactose PO)"
LDL,LDL-kolesterool,mmol/L,"S,P-LDL-Chol"
LDL,Madala tihedusega lipoproteiini kolesterool,mmol/L,"S,P-LDL-Chol"
LDL Kolest.,LDL kolest.,mmol/L,"S,P-LDL-Chol"
LDL kolest.,LDL kolest.,L,"S,P-LDL-Chol"
LDL- Kolesterool,LDL -Chol,mmol/L,"S,P-LDL-Chol"
LDL- Kolesterool,LDL_-Chol,mmol/L,"S,P-LDL-Chol"
LDL- Kolesterool,S-LDL -Chol,mmol/L,"S,P-LDL-Chol"
LDL- Kolesterool,S-LDL_-Chol,mmol/L,"S,P-LDL-Chol"
LDL kolesterool,"fS-LDL-Chol, fP-LDL-",mmol/L,"S,P-LDL-Chol"
LDL kolesterool,"fS-LDL-Chol, fP-LDL-Chol",mmol/L,"S,P-LDL-Chol"
LDL kolesterool,"fS-LDL-Chol,_fP-LDL-Chol",mmol/L,"S,P-LDL-Chol"
LDL-kolesterool,Madala tihedusega lipoproteiini kolesterool,mmol/L,"S,P-LDL-Chol"
LDL- kolesterool paastuseerumis,fS-LDL- Chol,mmol/L,"S,P-LDL-Chol"
LDL- kolesterool paastuseerumis,fS-LDL-_Chol,mmol/L,"S,P-LDL-Chol"
LDL- kolesterool paastuseerumis,"fS-LDL-Chol, fP-LDL-",ng/mL,"S,P-LDL-Chol"
LDL- kolesterool paastuseerumis,"fS-LDL-Chol, fP-LDL-Chol",ng/mL,"S,P-LDL-Chol"
LDL- kolesterool paastuseerumis,"fS-LDL-Chol,_fP-LDL-Chol",ng/mL,"S,P-LDL-Chol"
LDL-kolesterool paastuseerumis,fS-LDL-Chol HK:66105,mmol/L,"S,P-LDL-Chol"
LDL-kolesterool paastuseerumis,LDL-kolesterool,mmol/L,"S,P-LDL-Chol"
LDL-kolesterool seermis,LDL- kolesterool seerumis,mmol/L,"S,P-LDL-Chol"
LDL- kolesterool seerumis,LDL- kolesterool paastuseerumis,mmol/L,"S,P-LDL-Chol"
LDL-kolesterool seerumis/plasmas,S.P-LDL-Chol,mmol/L,"S,P-LDL-Chol"
LDL - Madala tihedusega lipoproteiini kolesterool,Madala tihedusega lipoproteiini kolesterool,mmol/L,"S,P-LDL-Chol"
LDL Madala tihedusega lipoproteiini kolesterool seerumis,Madala tihedusega lipoproteiini kolesterool,mmol/L,"S,P-LDL-Chol"
Liikvori analüüs,CSF - Basofiilid,%,CSF-Basofiilid %
Liikvori uuringud,Kepptuumalise,%,CSF-Kepptuumsed neutrofiilid %
Liikvori uuringud,Kepptuumalised,%,CSF-Kepptuumsed neutrofiilid %
Liikvori uuringud,Segmenttuumalise,%,CSF-Segmenttuumsed neutrofiilid %
Liikvori uuringud,Segmenttuumalised,%,CSF-Segmenttuumsed neutrofiilid %
LTT,Glükoos 0 min lac HK:66101,mmol/L,"fS,fP-Gluc 0 min (pre Lactose PO)"
LTT,Glükoos 20 min lac HK:66101,mmol/L,"S,P-Gluc 20 min (post 50g Lactose PO)"
LTT,Glükoos 40 min lac HK:66101,mmol/L,"S,P-Gluc 40 min (post 50g Lactose PO)"
% lymphs+monos,lymphs+monos%,%,B-Lymph% + Mono%
Pct,Prokaltsitoniin seerumis,ng/mL,"S,P-PCT"
P-PT/INR,P-PT/INR,%,P-PT-INR
Prokaltsitoniin,66720_S-Prokaltsitoniin,ng/mL,"S,P-PCT"
Prokaltsitoniin,P-prokaltsitoniin,ng/mL,"S,P-PCT"
Protombiiniaeg sekundites,P-PTs,sek,P-PT
Punktaadi analüüs,PlrF-Basofiilid,%,PlrF-Basofiilid %
Punktaadi analüüs,PlrF - Eosinofiilid,%,PlrF-Eosinofiilid %
Punktaadi analüüs,SynF - eosinofiilid,%,SynF-Eosinofiilid %
RDW,RDW,%,B-RDW-CV
Triglütseriidid astsiidivedelikus,As-Triglütseriidid,mmol/L,"fS,fP-Trigl"
Triglütseriidid paastuplasmas,Triglütseriidid paastuplasmas,mmol/L,"fS,fP-Trigl"
Triglütseriidid pleuravedelikus,PF-Triglütseriidid,mmol/L,"fS,fP-Trigl"
TSH,01-TSH,mIU/L,"S,P-TSH"
Tsüstatiin C kapillaarverest,GFR,mL/min/1.73m2,eGFR
täisveri,B-LYMPH,10E9/L,B-Lymph#
Türeotropiin,66706 TSH,mU/L,"S,P-TSH"
Türeotropiin,_TSH,mU/L,"S,P-TSH"
Türeotropiin (TSH),S-TSH HK:66706,mIU/L,"S,P-TSH"
Urea,Urea,mmol/L,"S,P-Urea"
Uriin,BIL,umol/L,U-Bil strip
Uriin,BIL HK:0000,umol/L,U-Bil strip
Uriin,ERY,/uL,U-RBC strip
Uriin,ERY HK:0000,/uL,U-RBC strip
Uriin,ERY HK:0000,E6/L,U-RBC strip
Uriin,GLU,mmol/L,U-Gluc strip
Uriin,GLU HK:0000,mmol/L,U-Gluc strip
Uriin,KET,mmol/L,U-Ket strip
Uriin,KET HK:0000,mmol/L,U-Ket strip
Uriin,LEU,/uL,U-WBC strip
Uriin,LEU HK:0000,/uL,U-WBC strip
Uriin,LEU HK:0000,E6/L,U-WBC strip
Uriin,PRO,g/L,U-Prot strip
Uriin,PRO HK:0000,g/L,U-Prot strip
Uriin,UBG,umol/L,U-Ubg strip
Uriin,UBG HK:0000,umol/L,U-Ubg strip
Uriini analüüs 10 parameetrilise testribaga,BIL,umol/L,U-Bil strip
Uriini analüüs 10 parameetrilise testribaga,BLD,er/uL,U-RBC strip
Uriini analüüs 10 parameetrilise testribaga,GLU,mmol/L,U-Gluc strip
Uriini analüüs 10 parameetrilise testribaga,KET,mmol/L,U-Ket strip
Uriini analüüs 10 parameetrilise testribaga,LEU,leu/uL,U-WBC strip
Uriini analüüs 10 parameetrilise testribaga,PRO,g/L,U-Prot strip
Uriini analüüs 10 parameetrilise testribaga,UBG,umol/L,U-Ubg strip
Uriini analüüs 10-parameetrilise testribaga,Erütrotsüüdid,er/uL,U-RBC strip
Uriini analüüs 10-parameetrilise testribaga,Erütrotsüüdid,/uL,U-RBC strip
Uriini analüüs 10-parameetrilise testribaga,Ketoonid,mmol/L,U-Nit strip
Uriini analüüs 10-parameetrilise testribaga,Leukotsüüdid,/uL,U-WBC strip
Uriini analüüs 10-parameetrilise testribaga,Uriini bilirubiin,umol/L,U-Bil strip
Uriini analüüs 10-parameetrilise testribaga,Uriini erütrotsüüdid,/uL,U-RBC strip
Uriini analüüs 10-parameetrilise testribaga,Uriini ketoonid,mmol/L,U-Nit strip
Uriini analüüs 10-parameetrilise testribaga,Uriini leukotsüüdid,/uL,U-WBC strip
Uriini analüüs 10-parameetrilise testribaga,Uriini urobilinogeen,umol/L,U-Ubg strip
Uriini analüüs 10-parameetrilise testribaga,Uriini valk,g/L,U-Prot strip
Uriini analüüs 10-parameetrilise testribaga (uus),Erütrotsüüdid,er/uL,U-RBC strip
Uriini analüüs 10-parameetrilise testribaga (uus),Ketoonid,mmol/L,U-Nit strip
Uriini analüüs 10-param. testribaga,Bilirubiin BIL,umol/L,U-Bil strip
Uriini analüüs 10-param. testribaga,Bilirubiin BIL,mmol/L,U-Bil strip
Uriini analüüs 10-param. testribaga,Erikaal SG,kg/L,U-SG strip
Uriini analüüs 10-param. testribaga,Erütrotsüüdid ERY,10*6/L,U-RBC strip
Uriini analüüs 10-param. testribaga,Erütrotsüüdid ERY,E6/L,U-RBC strip
Uriini analüüs 10-param. testribaga,Glükoos GLU,mmol/L,U-Gluc strip
Uriini analüüs 10-param. testribaga,Ketokehad KET,mmol/L,U-Ket strip
Uriini analüüs 10-param. testribaga,Leukotsüüdid LEU,10*6/L,U-WBC strip
Uriini analüüs 10-param. testribaga,Leukotsüüdid LEU,E6/L,U-WBC strip
Uriini analüüs 10-param. testribaga,Urobilinogeen UBG,mmol/L,U-Ubg strip
Uriini analüüs 10-param. testribaga,Urobilinogeen UBG,umol/L,U-Ubg strip
Uriini analüüs 10-param. testribaga,Valk PRO,g/L,U-Prot strip
Uriini ribaanalüüs*,-64 Valgu ja kreatiniini suhe uriinis,g/mol,U-Prot/U-Crea
Uriini ribaanalüüs*,CSF-WBC,E6/L,CSF-WBC
Uriini ribaanalüüs*,Erütrotsüüdid,/uL,U-RBC strip
Uriini ribaanalüüs*,Glükoos paastuseerumis/paastuplasmas,mmol/L,"fS,fP-Gluc"
Uriini ribaanalüüs*,Kaltsitoniin paastuseerumis,pmol/L,"S,P-CT"
Uriini ribaanalüüs*,Kaltsitoniin paastuseerumis/paastuplasmas,pmol/L,"S,P-CT"
Uriini ribaanalüüs*,Kaltsitoniin seerumis/lasmas,pmol/L,"S,P-CT"
Uriini ribaanalüüs*,Kaltsitoniin seerumis/plasmas,pmol/L,"S,P-CT"
Uriini ribaanalüüs*,Leukotsüüdid,/uL,U-WBC strip
Uriini ribaanalüüs*,Triglütseriidid pleuravedelikus,mmol/L,"fS,fP-Trigl"
Uriini ribaanalüüs*,Vaba türoksiin seerumis,pmol/L,"S,P-fT4"
Uriini ribaanalüüs*,Vaba türoksiin seerumis/plasmas,pmol/L,"S,P-fT4"
Uriini ribaanalüüs 1,fT4,pmol/L,"S,P-fT4"
Uriini ribaanalüüs 1,TSH,mU/L,"S,P-TSH"
Uriini ribaanalüüs 2,TSH,mU/L,"S,P-TSH"
Uriini ribaanalüüs (pH),fT4,pmol/L,"S,P-fT4"
Uriini ribaanalüüs (pH),Kaltsitoniin,pmol/L,"S,P-CT"
Uriini ribaanalüüs (pH),TSH,mU/L,"S,P-TSH"
Uriini sademe mikroskoopia*,CSF-WBC,E6/L,CSF-WBC
Uriini sademe mikroskoopia*,Kaltsitoniin paastuseerumis,pmol/L,"S,P-CT"
Uriini sademe mikroskoopia*,Kaltsitoniin paastuseerumis/paastuplasmas,pmol/L,"S,P-CT"
Uriini sademe mikroskoopia*,Kaltsitoniin seerumis/lasmas,pmol/L,"S,P-CT"
Uriini sademe mikroskoopia*,Kaltsitoniin seerumis/plasmas,pmol/L,"S,P-CT"
Uriini sademe mikroskoopia*,Vaba türoksiin seerumis,pmol/L,"S,P-fT4"
Uriini sademe mikroskoopia*,Vaba türoksiin seerumis/plasmas,pmol/L,"S,P-fT4"
Uriini uuringud,U-Ke,mmol/L,U-Ket strip
Uurea,"fS-Urea, fP-urea",mmol/L,"S,P-Urea"
Uurea,Uurea seerumis,mmol/L,"S,P-Urea"
uurea,Urea,mmol/L,"S,P-Urea"
Uurea seerumis,Uurea paastuseerumis,mmol/L,"S,P-Urea"
Vaba Türoksiin,66706 S-fT4,pmol/L,"S,P-fT4"
Vaba Türoksiin,S-_fT4,pmol/L,"S,P-fT4"
Vaba türoksiin,Türoksiin,pmol/L,"S,P-fT4"
vaba türoksiin,Türoksiin,pmol/L,"S,P-fT4"
vaba tütoksiin,vaba türoksiin,pmol/L,"S,P-fT4"
Vastsündinu hemogramm viieosalise leukogrammiga ja normoblastidega,nB-CBC-5Diff-NRBC,%,B-NRBC%
Vastsündinu hemogramm viieosalise leukogrammiga ja normoblastidega,nB-CBC-5Diff-NRBC,10E9/L,B-NRBC#
Vastsündinu hemogramm viieosalise leukogrammiga ja normoblastidega,NRBC#,10E9/L,B-NRBC#
"Vastsündinu hemogramm viieosalise leukogrammiga, normoblastidega ja retikulotsüütidega",nB-CBC-5Diff-NRBC-RET,%,B-NRBC%
"Vastsündinu hemogramm viieosalise leukogrammiga, normoblastidega ja retikulotsüütidega",nB-CBC-5Diff-NRBC-RET,10E9/L,B-NRBC#
Vastsündinute sõeluuring,BS-Phe/_TSH,mU/L,"S,P-TSH"
Vastsündinute sõeluuring,BS-Phe/_TSH,mg/dL,"S,P-TSH"
Vere automaatuuring 3-osalise leukogrammiga,MCHC Keskmine hemoglobiini konsentratsioon erütrotsüüdis,g/L,B-MCHC
Vere automaatuuring 3-osalise leukogrammiga,MCH Keskmine hemoglobiini hulk erütrotsüüdis,pg,B-MCH
Vere automaatuuring 3-osalise leukogrammiga,MCV Erütrotsüütide kesmine ruumala,fL,B-MCV
Vere automaatuuring 3-osalise leukogrammiga,MPV Trombotsüütide keskmine maht,fL,B-MPV
Vere automaatuuring 3-osalise leukogrammiga,PCT Trombotsüütide hematokritt,%,B-Pct
Vere automaatuuring 3-osalise leukogrammiga,PDW Trombotsüütide anisotsütoosi näitaja,fL,B-PDW
Vere automaatuuring 3-osalise leukogrammiga,PLT Trombotsüüdid,10E9/L,B-Plt
Vere automaatuuring 3-osalise leukogrammiga,RDW Erütrotsüütide anisotsütoosi näitaja,%,B-RDW-CV
"Vere automaatuuring 5-osalise leukogrammiga, vereäige mikroskoopia",Eosonofiilid,%,B-Eo%
"Vere automaatuuring 5-osalise leukogrammiga, vereäige mikroskoopia",Eosonofiilide arv,10E9/L,B-Eo#
"Vere automaatuuring 5-osalise leukogrammiga, vereäige mikroskoopia",Eosonofiilide suhtarv,%,B-Eo%
Vere automaatuuring 5-osalise leukogrammiga X,EOS#,10E9/L,B-Eo#
Vere automaatuuring 5-osalise leukogrammiga X,EOS%,%,B-Eo%
Vere automaatuuring ilma leukogrammita,MCHC Keskmine hemoglobiini kontsentratsioon erütrotsüüdis,g/L,B-MCHC
Vere automaatuuring ilma leukogrammita,MCH Keskmine hemoglobiini hulk erütrotsüüdis,pg,B-MCH
Vere automaatuuring ilma leukogrammita,MCV Erütrotsüütide keskmine ruumala,fL,B-MCV
Vere automaatuuring ilma leukogrammita,MPV Trombotsüütide keskmine maht,fL,B-MPV
Vere automaatuuring ilma leukogrammita,PDW Trombotsüütide anisotsütoosi näitaja,fL,B-PDW
Vere automaatuuring ilma leukogrammita,PLT Trombotsüüdid,10E9/L,B-Plt
Vere automaatuuring ilma leukogrammita,RDW-CV Erütrotsüütide anisotsütoosi näitaja,%,B-RDW-CV
Vere automaatuuring ilma leukogrammita,WBC Leukotsüüdid,10E9/L,B-WBC
Vereäige mikroskoopiline uuring,Segmenttuumsed neutrofiilid,%,B-Segmenttuumsed neutrofiilid %
Vereäige mikroskoopiline uuring (hemogramm),Segmenttuumsed neutrofiilid,%,B-Segmenttuumsed neutrofiilid %
VÄL,Kaltsitonii,pmol/L,"S,P-CT"
VÄL,Kaltsitoniin,pmol/L,"S,P-CT"
VÄL,Segmenttuumsed neutrofiilid,%,B-Segmenttuumsed neutrofiilid %
24356-8 Uriini Sademe Mikroskoopia,14683-7 Kreatiniin uriinis,mmol/L,U-Crea
24356-8 Uriini Sademe Mikroskoopia,14683-7 Kreatiniin uriinis,umol/L,U-Crea
24356-8 Uriini Sademe Mikroskoopia,34366-5 Valk/kreatiniin uriinis,g/mol,U-Prot/U-Crea
50556-0 Uriini Ribaanalüüs,14683-7 Kreatiniin uriinis,mmol/L,U-Crea
50556-0 Uriini Ribaanalüüs,14683-7 Kreatiniin uriinis,umol/L,U-Crea
50556-0 Uriini Ribaanalüüs,34366-5 Valk/kreatiniin uriinis,g/mol,U-Prot/U-Crea
57021-8 Hemogramm 5-Osalise Leukogrammiga,14682-9 Kreatiniin,umol/L,"S,P-Crea"
57021-8 Hemogramm 5-Osalise Leukogrammiga,14683-7 Kreatiniin uriinis,mmol/L,U-Crea
57021-8 Hemogramm 5-Osalise Leukogrammiga,33914-3 eGFR,mL/min/1.73m2,eGFR
57021-8 Hemogramm 5-Osalise Leukogrammiga,50210-4 eGFR,mL/min/1.73m2,"S,P-eGFR (CysC)"
57021-8 Hemogramm 5-Osalise Leukogrammiga,59826-8 Kreatiniin,umol/L,B-Crea (POCT)
57021-8 Hemogramm 5-Osalise Leukogrammiga,62238-1 eGFR,mL/min/1.73m2,eGFR (CKD-EPI)
57021-8 Hemogramm 5-Osalise Leukogrammiga,62238-1 eGFR,ml/min/1.73m2,eGFR (CKD-EPI)
57021-8 Hemogramm 5-Osalise Leukogrammiga,A-4823 eGFR,mL/min/1.73m2,"eGFR (CKD-EPI, POCT)"
58410-2 Hemogramm,14682-9 Kreatiniin,umol/L,"S,P-Crea"
58410-2 Hemogramm,50210-4 eGFR,mL/min/1.73m2,"S,P-eGFR (CysC)"
58410-2 Hemogramm,59826-8 Kreatiniin,umol/L,B-Crea (POCT)
58410-2 Hemogramm,62238-1 eGFR,mL/min/1.73m2,eGFR (CKD-EPI)
58410-2 Hemogramm,A-4823 eGFR,mL/min/1.73m2,"eGFR (CKD-EPI, POCT)"
Biokeemia Labor,Kreatiniin seerumi,umol/L,"S,P-Crea"
Biokeemia Labor (Haigla),Kreatiniin seerumi,umol/L,"S,P-Crea"
Biokeemia Labori Analüüsid,Kreatiniin seerumi,umol/L,"S,P-Crea"
Biokeemilised Uuringud,fS-Crea 1,umol/L,"S,P-Crea"
Biokeemilised Uuringud,fS-Crea 2,umol/L,"S,P-Crea"
Biokeemilised Uuringud,fS-Crea 3,umol/L,"S,P-Crea"
Biokeemilised Uuringud,fS-Crea 4,umol/L,"S,P-Crea"
Biokeemilised Uuringud,fS-Crea 5,umol/L,"S,P-Crea"
Biokeemilised Uuringud,fS-Crea 6,umol/L,"S,P-Crea"
Biokeemilised Uuringud,S-Creat,umol/L,"S,P-Crea"
Biokeemilised Uuringud,U-Crea 2,mmol/L,U-Crea
Eger - Hinnangulina Glomerulaarfiltratsiooni Kiirus(Egfr),Hinnangulina glomerulaarfiltratsiooni kiirus,mL/min/1.73m2,eGFR
Egfr (Ckd-Epi),62238-1 eGFR,mL/min/1.73m2,eGFR (CKD-EPI)
"Egfr (Crea, Ckd-Epi)",62238-1 eGFR,mL/min/1.73m2,eGFR (CKD-EPI)
"Egfr (Crea, Ckd-Epi)",62238-1 eGFR,ml/min/1.73m2,eGFR (CKD-EPI)
Kliinilise Keemia Uuringud,eGFR (Hinnanguline glomerulaarfiltratsiooni kiirus),mL/min/1.73m2,eGFR
Kliinilise Keemia Uuringud,"eGFR (Hinnanguline glomerulaarfiltratsiooni kiirus (kreatiniin, CKD-EPI))",mL/min/1.73m2,eGFR (CKD-EPI)
Kliinilise Keemia Uuringud,fS-Crea 1,umol/L,"S,P-Crea"
Kliinilise Keemia Uuringud,fS-Crea 2,umol/L,"S,P-Crea"
Kliinilise Keemia Uuringud,fS-Crea 3,umol/L,"S,P-Crea"
Kliinilise Keemia Uuringud,fS-Crea 4,umol/L,"S,P-Crea"
Kliinilise Keemia Uuringud,fS-Crea 7,umol/L,"S,P-Crea"
Kliinilise Keemia Uuringud,fS-Crea 8,umol/L,"S,P-Crea"
Kliinilise Keemia Uuringud,fS-Creat,umol/L,"S,P-Crea"
Kliinilise Keemia Uuringud,Kreatiniin (Kreatiniin seerumis/plasmas),umol/L,"S,P-Crea"
Kreatiniin,14682-9,umol/L,"S,P-Crea"
Kreatiniin,14682-9 Kreatiniin,umol/L,"S,P-Crea"
Kreatiniini Kinaasi Mb Isoens[[M,P4-CK-MBm,ug/L,"S,P-CK-MBm"
Kreatiniini Kinaasi Mb Isoensüümi Mass Plasmas,13969-1,ug/L,"S,P-CK-MBm"
Kreatiniini Kinaasi Mb Isoensüümi Mass Plasmas,P4-CK-MBm,ug/L,"S,P-CK-MBm"
Kreatiniini Kliirens,GFR,mL/min,dU-S-Crea
Kreatiniini Kliirens,S+dU-CreaC,mL/min,dU-S-Crea
Kreatiniinikliirens,GFR,mL/min,dU-S-Crea
Kreatiniini Kliirens Ööpäevases Uriinis,Kreatiniini kliirens,mL/min,dU-S-Crea
Kreatiniin Ja Egfr Seerumis,Hinnanguline glomerulaafiltratsiooni kiirus,"mL/min1,73m³",eGFR
Kreatiniin Paastuseerumis,14682-9,umol/L,"S,P-Crea"
Kreatiniin Seerumis/Plasmas,14682-9,umol/L,"S,P-Crea"
Kreatiniin Uriinis,14683-7,mmol/L,U-Crea
Kreatiniin Uriinis,14683-7,umol/L,U-Crea
Kreatiniin Uriinis,14683-7 Kreatiniin uriinis,mmol/L,U-Crea
Kreatiniin Uriinis,14683-7 Kreatiniin uriinis,umol/L,U-Crea
"L-1949 Hemogramm 5-Osalise Leukogrammi, Normoblastide Ja Retikulotsüütidega",14682-9 Kreatiniin,umol/L,"S,P-Crea"
"L-1949 Hemogramm 5-Osalise Leukogrammi, Normoblastide Ja Retikulotsüütidega",62238-1 eGFR,ml/min/1.73m2,eGFR (CKD-EPI)
L-3659 Hemogramm 5-Osalise Leukogrammiga Leukafereesi Produktist,14682-9 Kreatiniin,umol/L,"S,P-Crea"
L-3659 Hemogramm 5-Osalise Leukogrammiga Leukafereesi Produktist,62238-1 eGFR,mL/min/1.73m2,eGFR (CKD-EPI)
Ltkh Allhanked,U-Creat,mmol/L,U-Crea
S-Crea+Egfr (Mdrd Valemi J.),S-Crea+eGFR,"mL/min/1,73m2",eGFR
24356-8 Uriini Sademe Mikroskoopia,14956-7 Albumiin ööpäevases uriinis,mg/d,dU-Alb
24356-8 Uriini Sademe Mikroskoopia,14957-5 Albumiin uriinis,mg/L,U-Alb
24356-8 Uriini Sademe Mikroskoopia,1746-7 Albumiin liikvoris,mg/L,CSF-Alb
24356-8 Uriini Sademe Mikroskoopia,30000-4 Albumiin/kreatiniin uriinis,g/mol,U-Alb/U-Crea
24356-8 Uriini Sademe Mikroskoopia,30000-4 Albumiin/kreatiniin uriinis,mg/mmol,U-Alb/U-Crea
50556-0 Uriini Ribaanalüüs,14957-5 Albumiin uriinis,mg/L,U-Alb
50556-0 Uriini Ribaanalüüs,1746-7 Albumiin liikvoris,mg/L,CSF-Alb
50556-0 Uriini Ribaanalüüs,30000-4 Albumiin/kreatiniin uriinis,g/mol,U-Alb/U-Crea
50556-0 Uriini Ribaanalüüs,30000-4 Albumiin/kreatiniin uriinis,mg/mmol,U-Alb/U-Crea
50556-0 Uriini Ribaanalüüs,61151-7 Albumiin,g/L,"S,P-Alb"
57021-8 Hemogramm 5-Osalise Leukogrammiga,13980-8 Albumiin %,%,S-Alb-Fr%
57021-8 Hemogramm 5-Osalise Leukogrammiga,14338-8 Prealbumiin,g/L,"S,P-PreAlb"
57021-8 Hemogramm 5-Osalise Leukogrammiga,14956-7 Albumiin ööpäevases uriinis,mg/d,dU-Alb
57021-8 Hemogramm 5-Osalise Leukogrammiga,14957-5 Albumiin uriinis,mg/L,U-Alb
57021-8 Hemogramm 5-Osalise Leukogrammiga,1746-7 Albumiin liikvoris,mg/L,CSF-Alb
57021-8 Hemogramm 5-Osalise Leukogrammiga,1751-7 Albumiin,g/L,"S,P-Alb-hs"
57021-8 Hemogramm 5-Osalise Leukogrammiga,2862-1 Albumiin Fr,g/L,S-Alb-Fr
57021-8 Hemogramm 5-Osalise Leukogrammiga,30000-4 Albumiin/kreatiniin uriinis,g/mol,U-Alb/U-Crea
