analysis_name,t_lyhend,t_nimetus,kasutatav_nimetus,loinc_code,substrate,evidence
"S,P-Insect venoms IgE panel IB","S,P-Insect venoms IgE panel IB","Putukamürgivastane IgE seerumis/plasmas (paneel, immunoblot)",Putukamürgi IgE paneel (immunoblot),L-4653,,t_lyhend
"S,P-Kilpnäärmepakett","S,P-Kilpnäärmepakett",Kilpnäärmepakett,Kilpnäärmepakett,L-3822,,t_lyhend
"S,P-Laktoosi- ja gluteenitalumatuse pakett","S,P-Laktoosi- ja gluteenitalumatuse pakett",Laktoosi- ja gluteenitalumatuse pakett,Laktoosi- ja gluteenitalumatuse pakett,L-3545,,t_lyhend
"S,P-Last sooviva naise pakett","S,P-Last sooviva naise pakett",Last sooviva naise pakett,Last sooviva naise pakett,L-5271,,t_lyhend
"S,P-Leptospira Ab panel","S,P-Leptospira Ab panel","Leptospira-vastased IgM, IgG antikehad seerumis/plasmas (paneel)",Leptospira Ab paneel,L-2853,,t_lyhend
"S,P-Liver IgG panel IB","S,P-Liver IgG panel IB","Maksa autoimmuunhaigustega seotud IgG seerumis/plasmas (paneel, immunoblot)",Maksahaiguste IgG paneel (IB),L-3171,,t_lyhend
"S,P-Liver IgG panel IIF","S,P-Liver IgG panel IIF","Maksa autoimmuunhaigustega seotud IgG seerumis/plasmas (paneel, kaudne immunofluorestsents)",Maksahaiguste IgG paneel (IIF),L-3170,,t_lyhend
"S,P-Maksapakett","S,P-Maksapakett",Maksapakett,Maksapakett,L-3821,,t_lyhend
"S,P-Mineraalainete pakett","S,P-Mineraalainete pakett",Mineraalainete pakett,Mineraalainete pakett,L-3543,,t_lyhend
"S,P-Myositis IgG panel","S,P-Myositis IgG panel","Autoimmuunsete müosiitidega seotud IgG (Mi2, Ku, PL7, PL12, Jo1, PM/Scl75, PM/Scl100, EJ, OJ, SRP, Ro52) seerumis/plasmas (paneel)","Müosiitide IgG paneel (Mi2, Ku, PL7, PL12, Jo1, PM/Scl75, PM/Scl100, EJ, OJ, SRP, Ro52)",L-2939,,t_lyhend
"S,P-Myositis IgG panel IB","S,P-Myositis IgG panel IB","Autoimmuunsete müosiitidega seotud IgG seerumis/plasmas (paneel, immunoblot)",Müosiitide IgG paneel (IB),L-3968,,t_lyhend
"S,P-Myositis IgG panel II","S,P-Myositis IgG panel II","Autoimmuunsete müosiitidega seotud IgG (Mi2, PL7, PL12, Jo1, EJ, SRP, Ro52, HMGCR, MDA5, TIF1g) seerumis/plasmas (paneel II)","Müosiitide IgG paneel II (Mi2, PL7, PL12, Jo1, EJ, SRP, Ro52, HMGCR, MDA5, TIF1g)",L-4173,,t_lyhend
"S,P-Neuron Ab panel IIF","S,P-Neuron Ab panel IIF","Neuronaalsete antigeenide vastased antikehad seerumis/plasmas (paneel, kaudne immunofluorestsents)",Neuronaalsete antigeenide Ab paneel (IIF),L-3177,,t_lyhend
"S,P-Neuron IgG panel IB","S,P-Neuron IgG panel IB","Neuronaalsete antigeenide vastane IgG seerumis/plasmas (paneel, immunoblot)",Neuronaalsete antigeenide IgG paneel (IB),L-2975,,t_lyhend
"S,P-Neuron IgG panel II","S,P-Neuron IgG panel II","Neuronaalsete antigeenide vastane IgG (Amph, CV2.1, Hu, Yo, Ri, PNMA2, Recoverin, Zic4, Sox1, Titin, Tr(DNER), GAD65) seerumis/plasmas (paneel II)","Neuronaalsete antigeenide IgG paneel II (Amph, CV2.1, Hu, Yo, Ri, PNMA2, Recoverin, Zic4, Sox1, Titin, Tr(DNER), GAD65)",L-3785,,t_lyhend
"S,P-Omega-3 panel","S,P-Omega-3 panel","Oomega-3 rasvhapped (ALA, EPA, DHA) seerumis/plasmas (paneel)",Oomega-3 rasvhapete paneel,L-4378,,t_lyhend
"S,P-Omega-6 panel","S,P-Omega-6 panel","Oomega-6 rasvhapped (AA, GLA, BHGLA, LA) seerumis/plasmas (paneel)",Oomega-6 rasvhapete paneel,L-4379,,t_lyhend
"S,P-PANDAS IgG panel","S,P-PANDAS IgG panel",PANDAS-sündroomiga seotud IgG seerumis/plasmas (paneel),PANDAS IgG paneel,L-4282,,t_lyhend
"S,P-PCA, IF IgG panel","S,P-PCA, IF IgG panel",Parietaalrakkude ja sisemise faktori vastane IgG seerumis/plasmas (paneel),"PCA, sisemise faktori IgG paneel",L-3172,,t_lyhend
"S,P-Pediatric IgE panel IB","S,P-Pediatric IgE panel IB","Sagedasemad allergeenid laste seerumis/plasmas (paneel, immunoblot)",Sagedasemate allergeenide paneel lastele (immunoblot),L-4976,,t_lyhend
"S,P-PNMA2 Ab panel","S,P-PNMA2 Ab panel",PNMA2 (paraneoplastiline antigeen MA2) vastased antikehad seerumis/plasmas (paneel),PNMA2 Ab paneel,L-4288,,t_lyhend
"S,P-Putukamürkide allergia pakett","S,P-Putukamürkide allergia pakett",Putukamürkide allergia pakett,Putukamürkide allergia pakett,L-3825,,t_lyhend
"S,P-Rickettsia Ab panel","S,P-Rickettsia Ab panel",Rickettsia-vastased antikehad serumis/plasmas (paneel),Rickettsia Ab paneel,L-5243,,t_lyhend
S-Prot-Fr panel,S-Prot-Fr panel,Valkude fraktsioonid seerumis,Valkude fraktsioonid,24351-9,Ser/Plas,t_lyhend
"S,P-Schistosoma Ab panel","S,P-Schistosoma Ab panel",Schistosoma-vastased antikehad seerumis/plasmas (paneel),Schistosoma Ab paneel,L-5228,,t_lyhend
"S,P-S flexneri 1-6 Ab titr panel","S,P-S flexneri 1-6 Ab titr panel",Shigella flexneri serotüüpide 1-6 vastaste antikehade tiiter seerumis/plasmas (paneel),Shigella flexneri 1-6 Ab tiitri paneel,L-3283,,t_lyhend
"S,P-S sclerosis IgG panel IB","S,P-S sclerosis IgG panel IB","Süsteemse skleroosiga seotud IgG seerumis/plasmas (paneel, immunoblot)",Süsteemse skleroosi IgG paneel (IB),L-2078,,t_lyhend
"S,P-Südamepakett","S,P-Südamepakett",Südamepakett,Südamepakett,L-3546,,t_lyhend
"S,P-Zika virus Ab panel","S,P-Zika virus Ab panel",Zika viiruse vastased antikehad seerumis/plasmas (paneel),Zika viiruse Ab paneel,L-4566,,t_lyhend
"S,P-Taimetoitlase pakett","S,P-Taimetoitlase pakett",Taimetoitlase pakett,Taimetoitlase pakett,L-3823,,t_lyhend
"S,P-Terviseriski pakett","S,P-Terviseriski pakett",Terviseriski pakett,Terviseriski pakett,L-3538,,t_lyhend
"S,P-Terviseriski pakett lapsele","S,P-Terviseriski pakett lapsele",Terviseriski pakett lapsele,Terviseriski pakett lapsele,L-3541,,t_lyhend
"S,P-Tervisesportlase pakett","S,P-Tervisesportlase pakett",Tervisesportlase pakett,Tervisesportlase pakett,L-3542,,t_lyhend
"S,P-Titin, SOX1 IgG panel","S,P-Titin, SOX1 IgG panel",Titiini ja SOX1 vastane IgG seerumis/plasmas (paneel),"Titin, SOX1 IgG paneel",L-4176,,t_lyhend
"S,P-Toiduallergia pakett","S,P-Toiduallergia pakett",Toiduallergia pakett,Toiduallergia pakett,L-3826,,t_lyhend
"S,P-Tolmuallergia pakett","S,P-Tolmuallergia pakett",Tolmuallergia pakett,Tolmuallergia pakett,L-3827,,t_lyhend
"S,P-VGKC IgG panel","S,P-VGKC IgG panel","VGKC (kaaliumkanalid) seonduvate valkude (LGl1, Caspr2) vastane IgG seerumis/plasmas (paneel)",VGKC IgG paneel,L-3774,,t_lyhend
"S,P-Vit A, E panel","S,P-Vit A, E panel",Vitamiinid A ja E seerumis/plasmas (paneel),Vitamiinide A ja E paneel,L-3685,,t_lyhend
"S,P-Vitamiinide ja mikroelementide pakett","S,P-Vitamiinide ja mikroelementide pakett",Vitamiinide ja mikroelementide pakett,Vitamiinide ja mikroelementide pakett,L-3544,,t_lyhend
S-SFV Ab panel,S-SFV Ab panel,Sandfly palaviku viiruste vastased antikehad seerumis (paneel),Sandfly palaviku viiruste Ab paneel,L-4807,,t_lyhend
"St-Adenovirus 40,41, rotavirus Ag panel strip","St-Adenovirus 40,41, rotavirus Ag panel strip","Adenoviiruse 40,41 ja rotaviiruse Ag roojas (paneel, ribaanalüüs)","Adenoviiruse 40,41 ja rotaviiruse Ag paneel roojas (ribaanalüüs)",L-4071,,t_lyhend
"St-C difficile Ag, tox A,B panel","St-C difficile Ag, tox A,B panel","Clostridium difficile Ag, toksiin A,B roojast (paneel)","Clostridium difficile Ag, toksiin A,B paneel roojast",L-3037,,t_lyhend
St-C difficile DNA panel,St-C difficile DNA panel,Clostridium difficile DNA roojas (paneel),Clostridium difficile DNA paneel roojas,L-4054,,t_lyhend
St-EntericBac DNA panel,St-EntericBac DNA panel,Soolebakterite DNA roojas (paneel),Soolebakterite DNA paneel roojas,L-3443,,t_lyhend
St-EntericBac DNA panel broad,St-EntericBac DNA panel broad,Soolebakterite DNA roojas (laiendatud paneel),Soolebakterite DNA laiendatud paneel roojas,L-4994,,t_lyhend
St-EntericParasite DNA panel,St-EntericParasite DNA panel,Sooleparasiitide DNA roojas (paneel),Sooleparasiitide DNA paneel roojas,L-5000,,t_lyhend
St-Enteropathogens culture panel,St-Enteropathogens culture panel,Enteropatogeenide külv roojast (paneel),Enteropatogeenide külvi paneel roojast,L-2245,,t_lyhend
St-Hb panel,St-Hb panel,Peitveri roojas (paneel),Peitvere paneel roojas,L-3758,,t_lyhend
STLI DNA haavandi paneel,XXX-STDI DNA ulcer panel,Sugulisel teel levivate infektsioonitekitajate DNA (haavandi paneel),STLI DNA haavandi paneel,L-3001,,kasutatav_nimetus
STLI DNA laiendatud paneel,XXX-STDI DNA panel (broad),Sugulisel teel levivate infektsioonitekitajate DNA (laiendatud paneel),STLI DNA laiendatud paneel,L-3000,,kasutatav_nimetus
STLI DNA paneel,XXX-STDI DNA panel,Sugulisel teel levivate infektsioonitekitajate DNA (paneel),STLI DNA paneel,L-2999,,kasutatav_nimetus
St-Parasites-m panel (formalin-aether),St-Parasites-m panel (formalin-aether),"Parasiitide mikroskoopia roojast (formaliineeter, paneel)",Parasiitide mikroskoopia roojast (formaliineeter),L-4548,,t_lyhend
St-Vir RNA/DNA panel,St-Vir RNA/DNA panel,Viiruste RNA/DNA roojas (paneel),Viiruste RNA/DNA paneel roojas,L-3866,,t_lyhend
Sugulisel teel levivate infektsioonitekitajate DNA (haavandi paneel),XXX-STDI DNA ulcer panel,Sugulisel teel levivate infektsioonitekitajate DNA (haavandi paneel),STLI DNA haavandi paneel,L-3001,,t_nimetus
Sugulisel teel levivate infektsioonitekitajate DNA (laiendatud paneel),XXX-STDI DNA panel (broad),Sugulisel teel levivate infektsioonitekitajate DNA (laiendatud paneel),STLI DNA laiendatud paneel,L-3000,,t_nimetus
Sugulisel teel levivate infektsioonitekitajate DNA (paneel),XXX-STDI DNA panel,Sugulisel teel levivate infektsioonitekitajate DNA (paneel),STLI DNA paneel,L-2999,,t_nimetus
"S,U-Last sooviva mehe pakett","S,U-Last sooviva mehe pakett",Last sooviva mehe pakett,Last sooviva mehe pakett,L-5269,,t_lyhend
Suur klassikaline deksametasooni supressioonitest,Dexamethazone supression test (large),Suur klassikaline deksametasooni supressioonitest,Suur klassikaline deksametasooni supressioonitest,L-3486,,kasutatav_nimetus
S-VLCFA panel GC/MS,S-VLCFA panel GC/MS,Väga pika ahelaga rasvhapete paneel seerumis (GC/MS),Väga pika ahelaga rasvhapete paneel seerumis (GC/MS),49263-7,Ser/Plas,t_lyhend
Sõltuvusained uriinis (paneel),U-Narco panel,Sõltuvusained uriinis (paneel),Sõltuvusainete paneel uriinis,L-2716,,t_nimetus
Sõltuvusainete paneel uriinis,U-Narco panel,Sõltuvusained uriinis (paneel),Sõltuvusainete paneel uriinis,L-2716,,kasutatav_nimetus
Südamepakett,"S,P-Südamepakett",Südamepakett,Südamepakett,L-3546,,t_nimetus
Sünnieelne kromosoomihaiguste riskihinnang II trimestril,Pt-Grav II trim,Sünnieelne kromosoomihaiguste riskihinnang II trimestril,Sünnieelne kromosoomihaiguste riskihinnang II trimestril,49085-4,^Patient,kasutatav_nimetus
Sünnieelne kromosoomihaiguste riskihinnang I trimestril,Pt-Grav I trim,Sünnieelne kromosoomihaiguste riskihinnang I trimestril,Sünnieelne kromosoomihaiguste riskihinnang I trimestril,49086-2,^Patient,kasutatav_nimetus
"Süsteemse skleroosiga seotud IgG seerumis/plasmas (paneel, immunoblot)","S,P-S sclerosis IgG panel IB","Süsteemse skleroosiga seotud IgG seerumis/plasmas (paneel, immunoblot)",Süsteemse skleroosi IgG paneel (IB),L-2078,,t_nimetus
Süsteemse skleroosi IgG paneel (IB),"S,P-S sclerosis IgG panel IB","Süsteemse skleroosiga seotud IgG seerumis/plasmas (paneel, immunoblot)",Süsteemse skleroosi IgG paneel (IB),L-2078,,kasutatav_nimetus
"Süsteemsete sidekoehaigustega seotud IgG (Nucleos, dsDNA, Histone, SSA, Ro52, SSB, U1RNP, Sm, Mi2a, Mi2b, Ku, CENPA, CENPB, Sp100, PML, Scl70, PM/Scl100, PM/Scl75, RP11, RP155, gp210, PCNA, DFS70) seerumis/plasmas (paneel IV)","S,P-CTD IgG panel IV","Süsteemsete sidekoehaigustega seotud IgG (Nucleos, dsDNA, Histone, SSA, Ro52, SSB, U1RNP, Sm, Mi2a, Mi2b, Ku, CENPA, CENPB, Sp100, PML, Scl70, PM/Scl100, PM/Scl75, RP11, RP155, gp210, PCNA, DFS70) seerumis/plasmas (paneel IV)","Süsteemsete sidekoehaiguste IgG paneel IV (Nucleos, dsDNA, Histone, SSA, Ro52, SSB, U1RNP, Sm, Mi2a, Mi2b, Ku, CENPA, CENPB, Sp100, PML, Scl70, PM/Scl100, PM/Scl75, RP11, RP155, gp210, PCNA, DFS70)",L-4416,,t_nimetus
"Süsteemsete sidekoehaigustega seotud IgG seerumis/plasmas (paneel, immunoblot)","S,P-CTD IgG panel IB","Süsteemsete sidekoehaigustega seotud IgG seerumis/plasmas (paneel, immunoblot)",Süsteemsete sidekoehaiguste IgG paneel (IB),43119-7,Bld,t_nimetus
"Süsteemsete sidekoehaigustega seotud IgG (U1RNP, Sm, SSA, Ro52, SSB, Scl70, PM/Scl, Jo1, CENPB, PCNA, dsDNA, Nucleos, Histone, Rib P Prot, AMA M2, DFS70) seerumis/plasmas (paneel III)","S,P-CTD IgG panel III","Süsteemsete sidekoehaigustega seotud IgG (U1RNP, Sm, SSA, Ro52, SSB, Scl70, PM/Scl, Jo1, CENPB, PCNA, dsDNA, Nucleos, Histone, Rib P Prot, AMA M2, DFS70) seerumis/plasmas (paneel III)","Süsteemsete sidekoehaiguste IgG paneel III (U1RNP, Sm, SSA, Ro52, SSB, Scl70, PM/Scl, Jo1, CENPB, PCNA, dsDNA, Nucleos, Histone, Rib P Prot, AMA M2, DFS70)",L-3860,,t_nimetus
"Süsteemsete sidekoehaigustega seotud IgG (U1RNP, Sm, SSA, Ro52, SSB, Scl70, PM/Scl, Jo1, CENPB, PCNA, dsDNA, Nucleos, Histone, Rib P Prot, AMA M2) seerumis/plasmas (paneel II)","S,P-CTD IgG panel II","Süsteemsete sidekoehaigustega seotud IgG (U1RNP, Sm, SSA, Ro52, SSB, Scl70, PM/Scl, Jo1, CENPB, PCNA, dsDNA, Nucleos, Histone, Rib P Prot, AMA M2) seerumis/plasmas (paneel II)","Süsteemsete sidekoehaiguste IgG paneel II (U1RNP, Sm, SSA, Ro52, SSB, Scl70, PM/Scl, Jo1, CENPB, PCNA, dsDNA, Nucleos, Histone, Rib P Prot, AMA M2)",L-1862,,t_nimetus
Süsteemsete sidekoehaiguste IgG paneel (IB),"S,P-CTD IgG panel IB","Süsteemsete sidekoehaigustega seotud IgG seerumis/plasmas (paneel, immunoblot)",Süsteemsete sidekoehaiguste IgG paneel (IB),43119-7,Bld,kasutatav_nimetus
"Süsteemsete sidekoehaiguste IgG paneel III (U1RNP, Sm, SSA, Ro52, SSB, Scl70, PM/Scl, Jo1, CENPB, PCNA, dsDNA, Nucleos, Histone, Rib P Prot, AMA M2, DFS70)","S,P-CTD IgG panel III","Süsteemsete sidekoehaigustega seotud IgG (U1RNP, Sm, SSA, Ro52, SSB, Scl70, PM/Scl, Jo1, CENPB, PCNA, dsDNA, Nucleos, Histone, Rib P Prot, AMA M2, DFS70) seerumis/plasmas (paneel III)","Süsteemsete sidekoehaiguste IgG paneel III (U1RNP, Sm, SSA, Ro52, SSB, Scl70, PM/Scl, Jo1, CENPB, PCNA, dsDNA, Nucleos, Histone, Rib P Prot, AMA M2, DFS70)",L-3860,,kasutatav_nimetus
"Süsteemsete sidekoehaiguste IgG paneel II (U1RNP, Sm, SSA, Ro52, SSB, Scl70, PM/Scl, Jo1, CENPB, PCNA, dsDNA, Nucleos, Histone, Rib P Prot, AMA M2)","S,P-CTD IgG panel II","Süsteemsete sidekoehaigustega seotud IgG (U1RNP, Sm, SSA, Ro52, SSB, Scl70, PM/Scl, Jo1, CENPB, PCNA, dsDNA, Nucleos, Histone, Rib P Prot, AMA M2) seerumis/plasmas (paneel II)","Süsteemsete sidekoehaiguste IgG paneel II (U1RNP, Sm, SSA, Ro52, SSB, Scl70, PM/Scl, Jo1, CENPB, PCNA, dsDNA, Nucleos, Histone, Rib P Prot, AMA M2)",L-1862,,kasutatav_nimetus
"Süsteemsete sidekoehaiguste IgG paneel IV (Nucleos, dsDNA, Histone, SSA, Ro52, SSB, U1RNP, Sm, Mi2a, Mi2b, Ku, CENPA, CENPB, Sp100, PML, Scl70, PM/Scl100, PM/Scl75, RP11, RP155, gp210, PCNA, DFS70)","S,P-CTD IgG panel IV","Süsteemsete sidekoehaigustega seotud IgG (Nucleos, dsDNA, Histone, SSA, Ro52, SSB, U1RNP, Sm, Mi2a, Mi2b, Ku, CENPA, CENPB, Sp100, PML, Scl70, PM/Scl100, PM/Scl75, RP11, RP155, gp210, PCNA, DFS70) seerumis/plasmas (paneel IV)","Süsteemsete sidekoehaiguste IgG paneel IV (Nucleos, dsDNA, Histone, SSA, Ro52, SSB, U1RNP, Sm, Mi2a, Mi2b, Ku, CENPA, CENPB, Sp100, PML, Scl70, PM/Scl100, PM/Scl75, RP11, RP155, gp210, PCNA, DFS70)",L-4416,,kasutatav_nimetus
Synacthen-test (17-alfahüdroksüprogesteroon),Synacthentest (17-OHP),Synacthen-test (17-alfahüdroksüprogesteroon),Synacthen-test (17-OHP),L-3474,,t_nimetus
"Synacthen-test (17-alfahüdroksüprogesteroon, kortisool)","Synacthentest (17-OHP, Cort)","Synacthen-test (17-alfahüdroksüprogesteroon, kortisool)","Synacthen-test (17-OHP, kortisool)",L-3473,,t_nimetus
Synacthen-test (17-OHP),Synacthentest (17-OHP),Synacthen-test (17-alfahüdroksüprogesteroon),Synacthen-test (17-OHP),L-3474,,kasutatav_nimetus
Synacthentest (17-OHP),Synacthentest (17-OHP),Synacthen-test (17-alfahüdroksüprogesteroon),Synacthen-test (17-OHP),L-3474,,t_lyhend
"Synacthentest (17-OHP, Cort)","Synacthentest (17-OHP, Cort)","Synacthen-test (17-alfahüdroksüprogesteroon, kortisool)","Synacthen-test (17-OHP, kortisool)",L-3473,,t_lyhend
"Synacthen-test (17-OHP, kortisool)","Synacthentest (17-OHP, Cort)","Synacthen-test (17-alfahüdroksüprogesteroon, kortisool)","Synacthen-test (17-OHP, kortisool)",L-3473,,kasutatav_nimetus
Synacthentest (Cort),Synacthentest (Cort),Synacthen-test (kortisool),Synacthen-test (kortisool),L-3475,,t_lyhend
Synacthen-test (kortisool),Synacthentest (Cort),Synacthen-test (kortisool),Synacthen-test (kortisool),L-3475,,t_nimetus
SynF-Cells,SynF-Cells,Liigesevedeliku tsütoos,Liigesevedeliku tsütoos,L-2176,,t_lyhend
SynF-Diff,SynF-Diff,Liigesevedeliku tsütogramm,Liigesevedeliku tsütogramm,29582-4,Synv fld,t_lyhend
SynF-Diff a,SynF-Diff a,Liigesevedeliku tsütogramm (analüsaator),Liigesevedeliku tsütogramm analüsaatoril,34559-5,Synv fld,t_lyhend
Zika viiruse Ab paneel,"S,P-Zika virus Ab panel",Zika viiruse vastased antikehad seerumis/plasmas (paneel),Zika viiruse Ab paneel,L-4566,,kasutatav_nimetus
Zika viiruse vastased antikehad seerumis/plasmas (paneel),"S,P-Zika virus Ab panel",Zika viiruse vastased antikehad seerumis/plasmas (paneel),Zika viiruse Ab paneel,L-4566,,t_nimetus
t(15;17) B-PML/RARa mRNA % panel,t(15;17) B-PML/RARa mRNA % panel,t(15;17) PML/RARa translokatsiooni mRNA suhtarvud veres (paneel),t(15;17) PML/RARa mRNA % paneel,L-1191,,t_lyhend
t(15;17) PML/RARa mRNA % paneel,t(15;17) B-PML/RARa mRNA % panel,t(15;17) PML/RARa translokatsiooni mRNA suhtarvud veres (paneel),t(15;17) PML/RARa mRNA % paneel,L-1191,,kasutatav_nimetus
t(15;17) PML/RARa mRNA % paneel luuüdis,Bm-t(15;17) PML/RARa mRNA % panel,t(15;17) PML/RARa translokatsiooni mRNA suhtarvud luuüdis (paneel),t(15;17) PML/RARa mRNA % paneel luuüdis,L-1195,,kasutatav_nimetus
t(15;17) PML/RARa translokatsiooni mRNA suhtarvud luuüdis (paneel),Bm-t(15;17) PML/RARa mRNA % panel,t(15;17) PML/RARa translokatsiooni mRNA suhtarvud luuüdis (paneel),t(15;17) PML/RARa mRNA % paneel luuüdis,L-1195,,t_nimetus
t(15;17) PML/RARa translokatsiooni mRNA suhtarvud veres (paneel),t(15;17) B-PML/RARa mRNA % panel,t(15;17) PML/RARa translokatsiooni mRNA suhtarvud veres (paneel),t(15;17) PML/RARa mRNA % paneel,L-1191,,t_nimetus
Taimetoitlase pakett,"S,P-Taimetoitlase pakett",Taimetoitlase pakett,Taimetoitlase pakett,L-3823,,t_nimetus
Tau- ja fosforüleeritud tau valk liikvoris (paneel),"CSF-Tau, pTau panel",Tau- ja fosforüleeritud tau valk liikvoris (paneel),Tau ja pTau paneel liikvoris,L-4364,,t_nimetus
Tau ja pTau paneel liikvoris,"CSF-Tau, pTau panel",Tau- ja fosforüleeritud tau valk liikvoris (paneel),Tau ja pTau paneel liikvoris,L-4364,,kasutatav_nimetus
Terviseriski pakett,"S,P-Terviseriski pakett",Terviseriski pakett,Terviseriski pakett,L-3538,,t_nimetus
Terviseriski pakett lapsele,"S,P-Terviseriski pakett lapsele",Terviseriski pakett lapsele,Terviseriski pakett lapsele,L-3541,,t_nimetus
Tervisesportlase pakett,"S,P-Tervisesportlase pakett",Tervisesportlase pakett,Tervisesportlase pakett,L-3542,,kasutatav_nimetus
Tetra- ja dihüdrobiopteriini paneel liikvoris,"CSF-BH4, BH2 panel",Tetra- ja dihüdrobiopteriin liikvoris (paneel),Tetra- ja dihüdrobiopteriini paneel liikvoris,L-3296,,kasutatav_nimetus
Tetra- ja dihüdrobiopteriin liikvoris (paneel),"CSF-BH4, BH2 panel",Tetra- ja dihüdrobiopteriin liikvoris (paneel),Tetra- ja dihüdrobiopteriini paneel liikvoris,L-3296,,t_nimetus
T-helperrakkude (CD4) ja T-supressorrakkude (CD8) suhe seerumis (paneel),B-CD4/CD8 panel,T-helperrakkude (CD4) ja T-supressorrakkude (CD8) suhe seerumis (paneel),CD4/CD8 T-rakkude arv ja suhe (paneel),L-2945,,t_nimetus
Tiopuriini metüültransferaasi (TPMT) geeni *3A ja *2 alleelide paneel,"B-TPMT *3A, *2 panel",Tiopuriini metüültransferaasi (TPMT) geeni *3A ja *2 alleelid (paneel),Tiopuriini metüültransferaasi (TPMT) geeni *3A ja *2 alleelide paneel,L-2805,,kasutatav_nimetus
Tiopuriini metüültransferaasi (TPMT) geeni *3A ja *2 alleelid (paneel),"B-TPMT *3A, *2 panel",Tiopuriini metüültransferaasi (TPMT) geeni *3A ja *2 alleelid (paneel),Tiopuriini metüültransferaasi (TPMT) geeni *3A ja *2 alleelide paneel,L-2805,,t_nimetus
Tis-Muscle-em panel,Tis-Muscle-em panel,Skeletilihaskoe elektronmikroskoopia (paneel),Skeletilihaskoe elektronmikroskoopia paneel,L-5334,,t_lyhend
Titiini ja SOX1 vastane IgG seerumis/plasmas (paneel),"S,P-Titin, SOX1 IgG panel",Titiini ja SOX1 vastane IgG seerumis/plasmas (paneel),"Titin, SOX1 IgG paneel",L-4176,,t_nimetus
"Titin, SOX1 IgG paneel","S,P-Titin, SOX1 IgG panel",Titiini ja SOX1 vastane IgG seerumis/plasmas (paneel),"Titin, SOX1 IgG paneel",L-4176,,kasutatav_nimetus
Toiduallergeenide IgE paneel (immunoblot),"S,P-Food IgE panel IB","Toiduallergeenide (sarapuupähkli, maapähkli, kreeka pähkli, mandli, lehmapiima, munavalge, munakollase, kaseiini, kartuli, selleri, pergandi,tomati, tursa, krabi, apelsini, õuna, nisu, rukki, seesamiseemnete, soja) vastane IgE seerumis/plasmas (immunoblot)",Toiduallergeenide IgE paneel (immunoblot),L-4063,,kasutatav_nimetus
"Toiduallergeenide (sarapuupähkli, maapähkli, kreeka pähkli, mandli, lehmapiima, munavalge, munakollase, kaseiini, kartuli, selleri, pergandi,tomati, tursa, krabi, apelsini, õuna, nisu, rukki, seesamiseemnete, soja) vastane IgE seerumis/plasmas (immunoblot)","S,P-Food IgE panel IB","Toiduallergeenide (sarapuupähkli, maapähkli, kreeka pähkli, mandli, lehmapiima, munavalge, munakollase, kaseiini, kartuli, selleri, pergandi,tomati, tursa, krabi, apelsini, õuna, nisu, rukki, seesamiseemnete, soja) vastane IgE seerumis/plasmas (immunoblot)",Toiduallergeenide IgE paneel (immunoblot),L-4063,,t_nimetus
Toiduallergia pakett,"S,P-Toiduallergia pakett",Toiduallergia pakett,Toiduallergia pakett,L-3826,,kasutatav_nimetus
Tolmuallergia pakett,"S,P-Tolmuallergia pakett",Tolmuallergia pakett,Tolmuallergia pakett,L-3827,,kasutatav_nimetus
TRH test,TRH test,Türeotropiini vabastava hormooni stimulatsioonitest,TRH test,L-3482,,kasutatav_nimetus
Trombofiilia - V faktori geeni Leideni ja protrombiini geeni c.*20210G>A mutatsioonide paneel,"B-FVL, PT c.*20210G>A panel",Trombofiilia - V faktori geeni Leideni ja protrombiini geeni c.*20210G>A mutatsioonid (paneel),Trombofiilia - V faktori geeni Leideni ja protrombiini geeni c.*20210G>A mutatsioonide paneel,L-2745,,kasutatav_nimetus
Trombofiilia - V faktori geeni Leideni ja protrombiini geeni c.*20210G>A mutatsioonid (paneel),"B-FVL, PT c.*20210G>A panel",Trombofiilia - V faktori geeni Leideni ja protrombiini geeni c.*20210G>A mutatsioonid (paneel),Trombofiilia - V faktori geeni Leideni ja protrombiini geeni c.*20210G>A mutatsioonide paneel,L-2745,,t_nimetus
Tsöliaakia - HLA antigeenide paneel,B-Coeliac panel,Tsöliaakia - HLA antigeenid (paneel),Tsöliaakia - HLA antigeenide paneel,L-2972,,kasutatav_nimetus
Tsöliaakia - HLA antigeenid (paneel),B-Coeliac panel,Tsöliaakia - HLA antigeenid (paneel),Tsöliaakia - HLA antigeenide paneel,L-2972,,t_nimetus
Tsüstiline fibroos (CF) - CFTR geeni p.F508del ja 394delTT mutatsioonide paneel,"B-CFTR p.F508del, 394delTT panel",Tsüstiline fibroos (CF) - CFTR geeni p.F508del ja 394delTT mutatsioonid (paneel),Tsüstiline fibroos (CF) - CFTR geeni p.F508del ja 394delTT mutatsioonide paneel,L-2747,,kasutatav_nimetus
Tsüstiline fibroos (CF) - CFTR geeni p.F508del ja 394delTT mutatsioonid (paneel),"B-CFTR p.F508del, 394delTT panel",Tsüstiline fibroos (CF) - CFTR geeni p.F508del ja 394delTT mutatsioonid (paneel),Tsüstiline fibroos (CF) - CFTR geeni p.F508del ja 394delTT mutatsioonide paneel,L-2747,,t_nimetus
