parameter_name,t_lyhend,loinc_code,substrate,evidence
"s,p-CA 72-4(9. Kasvaja antigeen CA 72-4)","S,P-CA 72-4",2015-6,Ser/Plas,latest_parentheses_one_cases
"s,p-CA 72-4(Kasvaja antigeen CA 72-4)","S,P-CA 72-4",2015-6,Ser/Plas,latest_prefix_cases
"s,p-Ca(Kaltsium)","S,P-Ca",2000-8,Ser/Plas,latest_parentheses_one_cases
"s,p-Ca(kaltsium)","S,P-Ca",2000-8,Ser/Plas,latest_parentheses_one_cases
"s,p-Ca(Kaltsium seerumis)","S,P-Ca",2000-8,Ser/Plas,latest_parentheses_one_cases
"s,p-Carba(karbamasepiin)","S,P-Carba",3432-2,Ser/Plas,latest_parentheses_one_cases
"s,p-CEA(Kartsinoembruonaalne antigeen)","S,P-CEA",2039-6,Ser/Plas,latest_parentheses_one_cases
"s,p-CEA(kartsioembrionaalne antigeen)","S,P-CEA",2039-6,Ser/Plas,latest_prefix_cases
"s,p-CE(Kartsinoembruonaalne antigeen)","S,P-CEA",2039-6,Ser/Plas,latest_parentheses_two_cases
"s,p-cer","S,P-Cer",2064-4,Ser/Plas,latest_name_cases
"s,p-Cer(1. Tseruloplasmiin)","S,P-Cer",2064-4,Ser/Plas,latest_prefix_cases
"s,p-Cer(Tseruloplasmiin)","S,P-Cer",2064-4,Ser/Plas,latest_parentheses_one_cases
"s,p-Cer(tseruloplasmiin)","S,P-Cer",2064-4,Ser/Plas,latest_prefix_cases
"s,p-Ce(Tseruloplasmiin)","S,P-Cer",2064-4,Ser/Plas,latest_prefix_cases
"s,p-CgA(Kromograniin A plasmas)","S,P-CgA",25587-7,Ser/Plas,latest_prefix_cases
"s,p-ChE(Koliini esteraas)","S,P-ChE",2098-2,Ser/Plas,latest_parentheses_one_cases
"s,p-ChE(koliiniesteraas)","S,P-ChE",2098-2,Ser/Plas,latest_prefix_cases
"s,p-Cho(Kolesterool)","S,P-Chol",14647-2,Ser/Plas,latest_prefix_cases
"s,p-chol","S,P-Chol",14647-2,Ser/Plas,latest_name_cases
"s,p-Chol(Kolesterool)","S,P-Chol",14647-2,Ser/Plas,latest_parentheses_one_cases
"s,p-Chol(kolesterool)","S,P-Chol",14647-2,Ser/Plas,latest_parentheses_one_cases
"s,p-Chol(Kolesterool seerumis)","S,P-Chol",14647-2,Ser/Plas,latest_parentheses_one_cases
"s,p-ck","S,P-CK",2157-6,Ser/Plas,latest_name_cases
"s,p-C(Kaltsitoniin )","S,P-CT",15035-9,Ser/Plas,latest_parentheses_two_cases
"s,p-C(Kaltsitoniin)","S,P-CT",15035-9,Ser/Plas,latest_parentheses_two_cases
"s,p-C(Kaltsium)","S,P-Ca",2000-8,Ser/Plas,latest_parentheses_two_cases
"s,p-CK(Kreatiini kinaas)","S,P-CK",2157-6,Ser/Plas,latest_prefix_cases
"s,p-CK(kreatiinikinaas)","S,P-CK",2157-6,Ser/Plas,latest_prefix_cases
"s,p-CK(Kreatiini kinaas seerumis)","S,P-CK",2157-6,Ser/Plas,latest_parentheses_one_cases
"s,p-CK(kreatiniinikinaas)","S,P-CK",2157-6,Ser/Plas,latest_prefix_cases
"s,p-C(Kloriid)","S,P-Cl",2075-0,Ser/Plas,latest_prefix_cases
"s,p-CK-MB(Kreatiini kinaasi MB isoensuum)","S,P-CK-MB",32673-6,Ser/Plas,latest_parentheses_one_cases
"s,p-CK-MBm(kreatiniinikinaasiMBisoensuumimass)","S,P-CK-MBm",13969-1,Ser/Plas,latest_prefix_cases
"s,p-C(Komplemendi komponent C3)","S,P-C3",4485-9,Ser/Plas,latest_parentheses_two_cases
"s,p-C(Komplemendi komponent C4)","S,P-C4",4498-2,Ser/Plas,latest_prefix_cases
"s,p-C(Kreatiini kinaas)","S,P-CK",2157-6,Ser/Plas,latest_prefix_cases
"s,p-Cl(Kloriid)","S,P-Cl",2075-0,Ser/Plas,latest_parentheses_one_cases
"s,p-Cl(kloriid)","S,P-Cl",2075-0,Ser/Plas,latest_parentheses_one_cases
"s,p-Cl(Kloriidid)","S,P-Cl",2075-0,Ser/Plas,latest_parentheses_one_cases
"s,p-Cl(Kloriid seerumis)","S,P-Cl",2075-0,Ser/Plas,latest_prefix_cases
"s,p-Cor(Kortisool)","S,P-Cort",14675-3,Ser/Plas,latest_prefix_cases
"s,p-cort","S,P-Cort",14675-3,Ser/Plas,latest_name_cases
"s,p-Cort(1. Kortisool)","S,P-Cort",14675-3,Ser/Plas,latest_prefix_cases
"s,p-Cort(Kortisool)","S,P-Cort",14675-3,Ser/Plas,latest_prefix_cases
"s,p-C-pep(C-peptiid)","S,P-C-pept",14633-2,Ser/Plas,latest_parentheses_two_cases
"s,p-C-pept(C-peptiid)","S,P-C-pept",14633-2,Ser/Plas,latest_parentheses_one_cases
"s,p- C-peptiid(C peptiid)","S,P-C-pept",14633-2,Ser/Plas,latest_prefix_cases
"s,p-CR(C-reaktiivne valk)","S,P-CRP",1988-5,Ser/Plas,latest_prefix_cases
"s,p-crea","S,P-Crea",14682-9,Ser/Plas,latest_name_cases
"s,p-Crea 1(Kreatiniin)","S,P-Crea",14682-9,Ser/Plas,latest_prefix_cases
"s,p-Crea 2(Kreatiniin)","S,P-Crea",14682-9,Ser/Plas,latest_prefix_cases
"s,p-Crea 3(Kreatiniin)","S,P-Crea",14682-9,Ser/Plas,latest_prefix_cases
"s,p-Crea 4(Kreatiniin)","S,P-Crea",14682-9,Ser/Plas,latest_prefix_cases
"s,p-Crea 7(Kreatiniin)","S,P-Crea",14682-9,Ser/Plas,latest_parentheses_two_cases
"s,p-Crea 8(Kreatiniin)","S,P-Crea",14682-9,Ser/Plas,latest_parentheses_two_cases
"s,p-Crea(Kreatiniin)","S,P-Crea",14682-9,Ser/Plas,latest_parentheses_one_cases
"s,p-Crea(kreatiniin)","S,P-Crea",14682-9,Ser/Plas,latest_parentheses_one_cases
"s,p-Crea(Kreatiniin seerumis)","S,P-Crea",14682-9,Ser/Plas,latest_prefix_cases
"s,p-Creat(Kreatiniin)","S,P-Crea",14682-9,Ser/Plas,latest_parentheses_two_cases
"s,p-Cre(Kreatiniin)","S,P-Crea",14682-9,Ser/Plas,latest_parentheses_two_cases
"s,p-CRP 10(C-reaktiivne valk)","S,P-CRP",1988-5,Ser/Plas,latest_prefix_cases
"s,p-CRP 11(C-reaktiivne valk)","S,P-CRP",1988-5,Ser/Plas,latest_parentheses_two_cases
"s,p-CRP 12(C-reaktiivne valk)","S,P-CRP",1988-5,Ser/Plas,latest_parentheses_two_cases
"s,p-CRP 13(C-reaktiivne valk)","S,P-CRP",1988-5,Ser/Plas,latest_prefix_cases
"s,p-CRP 1(C-reaktiivne valk)","S,P-CRP",1988-5,Ser/Plas,latest_prefix_cases
"s,p-CRP 2(C-reaktiivne valk)","S,P-CRP",1988-5,Ser/Plas,latest_parentheses_two_cases
"s,p-CRP 3(C-reaktiivne valk)","S,P-CRP",1988-5,Ser/Plas,latest_prefix_cases
"s,p-CRP 4(C-reaktiivne valk)","S,P-CRP",1988-5,Ser/Plas,latest_parentheses_two_cases
"s,p-CRP 7(C-reaktiivne valk)","S,P-CRP",1988-5,Ser/Plas,latest_prefix_cases
"s,p-CRP 8(C-reaktiivne valk)","S,P-CRP",1988-5,Ser/Plas,latest_parentheses_two_cases
"s,p-CRP 9(C-reaktiivne valk)","S,P-CRP",1988-5,Ser/Plas,latest_prefix_cases
"s,p-CRP(C-reaktiivne valk)","S,P-CRP",1988-5,Ser/Plas,latest_prefix_cases
"s,p-CRP(C-reaktiivnevalk)","S,P-CRP",1988-5,Ser/Plas,latest_prefix_cases
"s,p-CRP(C-reaktiivne valk seerumis)","S,P-CRP",1988-5,Ser/Plas,latest_parentheses_one_cases
S-PCT,"S,P-PCT",33959-8,Ser/Plas,latest_prefix_cases
"s,p-CT(Kaltsitoniin )","S,P-CT",15035-9,Ser/Plas,latest_parentheses_one_cases
"s,p-CT(Kaltsitoniin)","S,P-CT",15035-9,Ser/Plas,latest_prefix_cases
"s,p-ctni","S,P-cTnI",10839-9,Ser/Plas,latest_name_cases
"s,p-cTnI(Troponiin I)","S,P-cTnI",10839-9,Ser/Plas,latest_prefix_cases
"s,p-ctnt-hs","S,P-cTnT-hs",67151-1,Ser/Plas,latest_name_cases
"s,p-CysC(Tsustatiin C)","S,P-CysC",33863-2,Ser/Plas,latest_prefix_cases
"s,p-Digo(Digoksiin)","S,P-Digox",10535-3,Ser/Plas,latest_parentheses_two_cases
"s,p-digox","S,P-Digox",10535-3,Ser/Plas,latest_name_cases
"s,p-Digox(Digoksiin)","S,P-Digox",10535-3,Ser/Plas,latest_prefix_cases
"s,p-Digox(digoksiin)","S,P-Digox",10535-3,Ser/Plas,latest_parentheses_one_cases
"s,p-E2(?-stradiool)","S,P-E2",14715-7,Ser/Plas,latest_parentheses_one_cases
"s,p-epo","S,P-EPO",15061-5,Ser/Plas,latest_name_cases
"s,p-E(?-stradiool)","S,P-E2",14715-7,Ser/Plas,latest_parentheses_two_cases
"s,p-EtOH(Etanool)","S,P-EtOH",5643-2,Ser/Plas,latest_parentheses_one_cases
"s,p-EtOH(Etanool seerumis, plasmas)","S,P-EtOH",5643-2,Ser/Plas,latest_prefix_cases
"s,p-fe","S,P-Fe",14798-3,Ser/Plas,latest_name_cases
"s,p-Fe(Ferritiin)","S,P-Fe",14798-3,Ser/Plas,latest_prefix_cases
"s,p-fer","S,P-Fer",2276-4,Ser/Plas,latest_name_cases
"s,p-Fe(Raud)","S,P-Fe",14798-3,Ser/Plas,latest_parentheses_one_cases
"s,p-Fe(raud)","S,P-Fe",14798-3,Ser/Plas,latest_prefix_cases
"s,p-Fer(Ferritiin)","S,P-Fer",2276-4,Ser/Plas,latest_prefix_cases
"s,p-Fo(Folaat)","S,P-Fol",14732-2,Ser/Plas,latest_prefix_cases
"s,p-fol","S,P-Fol",14732-2,Ser/Plas,latest_name_cases
"s,p-Fol(Folaat)","S,P-Fol",14732-2,Ser/Plas,latest_parentheses_one_cases
"s,p-Fol(Foolhape)","S,P-Fol",14732-2,Ser/Plas,latest_parentheses_one_cases
"s,p-Fol (Q)","S,P-Fol",14732-2,Ser/Plas,latest_prefix_cases
"s,p-(Fosfaat)","S,P-P",14879-1,Ser/Plas,latest_prefix_cases
"s,p-fpsa","S,P-fPSA",10886-0,Ser/Plas,latest_name_cases
"s,p-fPSA( Vaba prostataspetsiifiline antigeen)","S,P-fPSA",10886-0,Ser/Plas,latest_parentheses_one_cases
"s,p-fPS( Vaba prostataspetsiifiline antigeen)","S,P-fPSA",10886-0,Ser/Plas,latest_parentheses_two_cases
"s,p-F(Raud)","S,P-Fe",14798-3,Ser/Plas,latest_parentheses_two_cases
"s,p-FS(Folliikuleid stimuleeriv hormoon)","S,P-FSH",15067-2,Ser/Plas,latest_prefix_cases
"s,p-FSH(Folliikuleid stimuleeriv hormoon)","S,P-FSH",15067-2,Ser/Plas,latest_parentheses_one_cases
"s,p-FT3(Vaba trijoodturoniin)","S,P-fT3",14928-6,Ser/Plas,latest_prefix_cases
"s,p-fT3(Vaba trijoodturoniin)","S,P-fT3",14928-6,Ser/Plas,latest_prefix_cases
"s,p-ft4","S,P-fT4",14920-3,Ser/Plas,latest_name_cases
"s,p-FT4(Vaba T4)","S,P-fT4",14920-3,Ser/Plas,latest_prefix_cases
"s,p-FT4(Vaba turoksiin)","S,P-fT4",14920-3,Ser/Plas,latest_prefix_cases
"s,p-fT4(Vaba turoksiin)","S,P-fT4",14920-3,Ser/Plas,latest_prefix_cases
"s,p-fT(Vaba trijoodturoniin)","S,P-fT3",14928-6,Ser/Plas,latest_prefix_cases
"s,p-fT(Vaba turoksiin)","S,P-fT4",14920-3,Ser/Plas,latest_prefix_cases
"s,p-GG(Gamma-Glutamuuli transferaas)","S,P-GGT",2324-2,Ser/Plas,latest_prefix_cases
"s,p-GG(Gammaglutamuuli transferaas)","S,P-GGT",2324-2,Ser/Plas,latest_prefix_cases
"s,p-GGT(Gamma-Glutam??????li transferaas)","S,P-GGT",2324-2,Ser/Plas,latest_prefix_cases
"s,p-GGT(Gamma-Glutamuuli transferaas)","S,P-GGT",2324-2,Ser/Plas,latest_prefix_cases
"s,p-GGT(Gamma-glutamuuli transferaas)","S,P-GGT",2324-2,Ser/Plas,latest_parentheses_one_cases
"s,p-GGT(Gammaglutamuuli transferaas)","S,P-GGT",2324-2,Ser/Plas,latest_prefix_cases
"s,p-GGT(gamma-glutamuulitransferaas)","S,P-GGT",2324-2,Ser/Plas,latest_prefix_cases
"s,p-GH(Kasvuhormoon)","S,P-GH",2963-7,Ser/Plas,latest_parentheses_one_cases
"s,p-G(Kasvuhormoon)","S,P-GH",2963-7,Ser/Plas,latest_parentheses_two_cases
"s,p-gluc","S,P-Gluc",14749-6,Ser/Plas,latest_name_cases
"s,p-Gluc(Gl???koos seerumis)","S,P-Gluc",14749-6,Ser/Plas,latest_parentheses_one_cases
"s,p-Gluc(Glukoos)","S,P-Gluc",14749-6,Ser/Plas,latest_parentheses_one_cases
"s,p-Gluc(glukoos)","S,P-Gluc",14749-6,Ser/Plas,latest_prefix_cases
"s,p-Gluc(Glukoos seerumis)","S,P-Gluc",14749-6,Ser/Plas,latest_parentheses_one_cases
"s,p-Glu(Glukoos)",U-Gluc strip,59156-0,Urine,latest_prefix_cases
"s,p-Hapto(haptoglobiin)","S,P-Hapto",4542-7,Ser/Plas,latest_prefix_cases
"S,P-Hapto(Haptoglobiin seerumis, plasmas)","S,P-Hapto",4542-7,Ser/Plas,latest_parentheses_one_cases
"s,p-hCG(Koorioni gonadotropiin)","S,P-hCG",19080-1,Ser/Plas,latest_prefix_cases
"s,p-hCG (totaal)(Koorioni gonadotropiin)","S,P-hCG",19080-1,Ser/Plas,latest_parentheses_two_cases
"s,p-Hcy(Homotsusteiin)","S,P-Hcy",13965-9,Ser/Plas,latest_parentheses_one_cases
"s,p-Hcy(homotsusteiin)","S,P-Hcy",13965-9,Ser/Plas,latest_prefix_cases
"s,p-iga","S,P-IgA",2458-8,Bld,latest_name_cases
"s,p- IgA(Immunoglobuliin A)","S,P-IgA",2458-8,Bld,latest_parentheses_one_cases
"s,p-IgA(Immuunglobuliin A)","S,P-IgA",2458-8,Bld,latest_parentheses_one_cases
"s,p-IgA(immuunglobuliinA)","S,P-IgA",2458-8,Bld,latest_parentheses_one_cases
"s,p-IgA(Immuunglobuliin A seerumis)","S,P-IgA",2458-8,Bld,latest_prefix_cases
"s,p-ige","S,P-IgE",19113-0,Bld,latest_name_cases
"s,p-Ig E(Immunoglobuliin E seerumis)","S,P-IgE",19113-0,Bld,latest_parentheses_one_cases
"s,p-IgE(Immuunglobuliin E)","S,P-IgE",19113-0,Bld,latest_prefix_cases
"s,p-IGF-1(Insuliinisarnane kasvufaktor I)","S,P-IGF-1",2484-4,Ser/Plas,latest_parentheses_one_cases
"s,p-igg","S,P-IgG",2465-3,Bld,latest_name_cases
"s,p-IgG(3. Immuunglobuliin G seerumis)","S,P-IgG",2465-3,Bld,latest_parentheses_one_cases
"s,p-IgG(Immuunglobuliin G)","S,P-IgG",2465-3,Bld,latest_prefix_cases
"s,p-IgG(immuunglobuliinG)","S,P-IgG",2465-3,Bld,latest_parentheses_one_cases
"s,p-IgG(Immuunglobuliin G seerumis)","S,P-IgG",2465-3,Bld,latest_parentheses_one_cases
"s,p-Ig(Immuunglobuliin A)","S,P-IgA",2458-8,Bld,latest_prefix_cases
"s,p-Ig(Immuunglobuliin E)","S,P-IgE",19113-0,Bld,latest_prefix_cases
"s,p-Ig(Immuunglobuliin G)","S,P-IgG",2465-3,Bld,latest_parentheses_two_cases
"s,p-Ig(Immuunglobuliin M)","S,P-IgM",2472-9,Bld,latest_prefix_cases
"s,p-igm","S,P-IgM",2472-9,Bld,latest_name_cases
"s,p-IgM(Immuunglobuliin M)","S,P-IgM",2472-9,Bld,latest_prefix_cases
"s,p-IgM(immuunglobuliinM)","S,P-IgM",2472-9,Bld,latest_prefix_cases
"s,p-IgM(Immuunglobuliin M seerumis)","S,P-IgM",2472-9,Bld,latest_parentheses_one_cases
"s,p-In(Insuliin)","S,P-Ins",20448-7,Ser/Plas,latest_prefix_cases
"s,p-Ins(Insuliin)","S,P-Ins",20448-7,Ser/Plas,latest_parentheses_one_cases
"s,p-k","S,P-K",2823-3,Ser/Plas,latest_name_cases
"s,p-K 10(Kaalium)","S,P-K",2823-3,Ser/Plas,latest_parentheses_two_cases
"s,p-K 11(Kaalium)","S,P-K",2823-3,Ser/Plas,latest_prefix_cases
"s,p-K 1(Kaalium)","S,P-K",2823-3,Ser/Plas,latest_parentheses_two_cases
"s,p-K 2(Kaalium)","S,P-K",2823-3,Ser/Plas,latest_prefix_cases
"s,p-K 3(Kaalium)","S,P-K",2823-3,Ser/Plas,latest_prefix_cases
"s,p-K 4(Kaalium)","S,P-K",2823-3,Ser/Plas,latest_parentheses_two_cases
"s,p-K 7(Kaalium)","S,P-K",2823-3,Ser/Plas,latest_parentheses_two_cases
"s,p-K 8(Kaalium)","S,P-K",2823-3,Ser/Plas,latest_parentheses_two_cases
"s,p-K 9(Kaalium)","S,P-K",2823-3,Ser/Plas,latest_parentheses_two_cases
"s,p-(Kaalium)","S,P-K",2823-3,Ser/Plas,latest_prefix_cases
"s,p-K(Kaalium)","S,P-K",2823-3,Ser/Plas,latest_prefix_cases
"s,p-K(kaalium)","S,P-K",2823-3,Ser/Plas,latest_parentheses_one_cases
"s,p-K(Kaalium seerumis)","S,P-K",2823-3,Ser/Plas,latest_parentheses_one_cases
"S,P-Kreatiniin","S,P-Crea",14682-9,Ser/Plas,latest_completely_manual_cases
"s,p-ldh","S,P-LDH",14805-6,Ser/Plas,latest_name_cases
"s,p-LDH(Laktaadi dehudrogenaas )","S,P-LDH",14805-6,Ser/Plas,latest_prefix_cases
"s,p-LDH(laktaadidehudrogenaas)","S,P-LDH",14805-6,Ser/Plas,latest_prefix_cases
"s,p-LDH(Laktaadi dehudrogenaas seerumis)","S,P-LDH",14805-6,Ser/Plas,latest_prefix_cases
"s,p-LD(Laktaadi dehudrogenaas )","S,P-LDH",14805-6,Ser/Plas,latest_parentheses_two_cases
"s,p-LD(Laktaadi dehudrogenaas seerumis)","S,P-LDL-Chol",22748-8,Ser/Plas,latest_prefix_cases
"s,p-LH(Luteiniseeriv hormoon)","S,P-LH",10501-5,Ser/Plas,latest_prefix_cases
"s,p-li","S,P-Li",14334-7,Ser/Plas,latest_name_cases
"s,p-Li(3. Liitium seerumis)","S,P-Li",14334-7,Ser/Plas,latest_prefix_cases
"s,p-Li(liitium)","S,P-Li",14334-7,Ser/Plas,latest_prefix_cases
"s,p-Li(Lipaas)","S,P-Li",14334-7,Ser/Plas,latest_prefix_cases
"s,p-Lip(Lipaas)","S,P-Lip",3040-3,Ser/Plas,latest_prefix_cases
"s,p-Lip(lipaas)","S,P-Lip",3040-3,Ser/Plas,latest_parentheses_one_cases
"s,p-Lip( Q)","S,P-Lip",3040-3,Ser/Plas,latest_prefix_cases
"s,p-L(Luteiniseeriv hormoon)","S,P-LH",10501-5,Ser/Plas,latest_prefix_cases
"s,p-Lp(a)(lipoproteiina)","S,P-Lp(a)",43583-4,Ser/Plas,latest_prefix_cases
"s,p-mg","S,P-Mg",2601-3,Ser/Plas,latest_name_cases
"s,p-Mg(Magneesium)","S,P-Mg",2601-3,Ser/Plas,latest_parentheses_one_cases
"s,p-Mg(magneesium)","S,P-Mg",2601-3,Ser/Plas,latest_parentheses_one_cases
"s,p-Mg(Magneesium seerumis)","S,P-Mg",2601-3,Ser/Plas,latest_prefix_cases
"s,p-M(Magneesium)","S,P-Mg",2601-3,Ser/Plas,latest_prefix_cases
"s,p-myogl","S,P-Myogl",2639-3,Ser/Plas,latest_name_cases
"s,p-Myogl(Muoglobiin)","S,P-Myogl",2639-3,Ser/Plas,latest_prefix_cases
"s,p-Myogl(muoglobiin)","S,P-Myogl",2639-3,Ser/Plas,latest_prefix_cases
"s,p-Myog(Muoglobiin)","S,P-Myogl",2639-3,Ser/Plas,latest_prefix_cases
"s,p-na","S,P-Na",2951-2,Ser/Plas,latest_name_cases
"s,p-Na 10(Naatrium)","S,P-Na",2951-2,Ser/Plas,latest_prefix_cases
"s,p-Na 11(Naatrium)","S,P-Na",2951-2,Ser/Plas,latest_parentheses_two_cases
"s,p-Na 1(Naatrium)","S,P-Na",2951-2,Ser/Plas,latest_prefix_cases
"s,p-Na 2(Naatrium)","S,P-Na",2951-2,Ser/Plas,latest_parentheses_two_cases
"s,p-Na 3(Naatrium)","S,P-Na",2951-2,Ser/Plas,latest_prefix_cases
"s,p-Na 4(Naatrium)","S,P-Na",2951-2,Ser/Plas,latest_parentheses_two_cases
"s,p-Na 7(Naatrium)","S,P-Na",2951-2,Ser/Plas,latest_parentheses_two_cases
"s,p-Na 8(Naatrium)","S,P-Na",2951-2,Ser/Plas,latest_prefix_cases
"s,p-Na 9(Naatrium)","S,P-Na",2951-2,Ser/Plas,latest_parentheses_two_cases
"s,p-Na(Naatrium)","S,P-Na",2951-2,Ser/Plas,latest_prefix_cases
"s,p-Na(naatrium)","S,P-Na",2951-2,Ser/Plas,latest_parentheses_one_cases
"s,p-Na( Naatrium seerumis)","S,P-Na",2951-2,Ser/Plas,latest_prefix_cases
"s,p-Na(Naatrium seerumis)","S,P-Na",2951-2,Ser/Plas,latest_parentheses_one_cases
"s,p-N(Naatrium)","S,P-Na",2951-2,Ser/Plas,latest_parentheses_two_cases
"s,p-Osteoca(osteokaltsiin)","S,P-Osteoca",2697-1,Ser/Plas,latest_parentheses_one_cases
"s,p-PAPP-A(Rasedusega seotud plasma protein A)","S,P-PAPP-A",32046-5,Ser/Plas,latest_parentheses_one_cases
"s,p-Paracet(paratsetamool)","S,P-Paracet",3298-7,Ser/Plas,latest_parentheses_one_cases
"s,p- PC(Prokaltsitoniin)","S,P-PCT",33959-8,Ser/Plas,latest_prefix_cases
"s,p-PC(Prokaltsitoniin)","S,P-PCT",33959-8,Ser/Plas,latest_parentheses_two_cases
"s,p-pct","S,P-PCT",33959-8,Ser/Plas,latest_name_cases
"s,p- PCT(Prokaltsitoniin)","S,P-PCT",33959-8,Ser/Plas,latest_prefix_cases
"s,p-PCT(Prokaltsitoniin)","S,P-PCT",33959-8,Ser/Plas,latest_parentheses_one_cases
"s,p-PCT(prokaltsitoniin)","S,P-PCT",33959-8,Ser/Plas,latest_parentheses_one_cases
"s,p-P(Fosfaat)","S,P-P",14879-1,Ser/Plas,latest_prefix_cases
"s,p-P(fosfaat)","S,P-P",14879-1,Ser/Plas,latest_parentheses_one_cases
"s,p-P(Fosfaat seerumis)","S,P-P",14879-1,Ser/Plas,latest_parentheses_one_cases
"s,p-Progesteroon(Progesteroon)","S,P-Prog",14890-8,Ser/Plas,latest_parentheses_two_cases
"s,p-Prog(Progesteroon)","S,P-Prog",14890-8,Ser/Plas,latest_prefix_cases
"s,p-Prolaktiin(Prolaktiin)","S,P-Prol",15081-3,Ser/Plas,latest_prefix_cases
"s,p-Prol(Prolaktiin)","S,P-Prol",15081-3,Ser/Plas,latest_prefix_cases
"s,p-Pro(Progesteroon)","S,P-Prog",14890-8,Ser/Plas,latest_prefix_cases
"s,p-Pro(Prolaktiin)","S,P-Prol",15081-3,Ser/Plas,latest_parentheses_two_cases
"s,p-prot","S,P-Prot",2885-2,Ser/Plas,latest_name_cases
"s,p-Prot(???ldvalk)","S,P-Prot",2885-2,Ser/Plas,latest_prefix_cases
"s,p-Prot(Uldvalk)","S,P-Prot",2885-2,Ser/Plas,latest_parentheses_one_cases
"s,p-Prot(valk)","S,P-Prot",2885-2,Ser/Plas,latest_parentheses_one_cases
"s,p-psa","S,P-PSA",2857-1,Ser/Plas,latest_name_cases
"s,p-PSA(Prostataspetsiifiline antigeen)","S,P-PSA",2857-1,Ser/Plas,latest_parentheses_one_cases
"s,p-PS(Prostataspetsiifiline antigeen)","S,P-PSA",2857-1,Ser/Plas,latest_parentheses_two_cases
"s,p-PTH( Parathormoon)","S,P-PTH",14866-8,Ser/Plas,latest_parentheses_one_cases
"s,p-PTH(Parathormoon)","S,P-PTH",14866-8,Ser/Plas,latest_prefix_cases
"s,p-PT( Parathormoon)","S,P-PTH",14866-8,Ser/Plas,latest_prefix_cases
"s,p-PT(Parathormoon)","S,P-PTH",14866-8,Ser/Plas,latest_prefix_cases
"s,p-rf","S,P-RF",11572-5,Bld,latest_name_cases
"s,p-RF(Reumatoidfaktor)","S,P-RF",11572-5,Bld,latest_prefix_cases
"s,p-RF(reumatoidfaktor)","S,P-RF",11572-5,Bld,latest_parentheses_one_cases
S-Prl,"S,P-Prol",15081-3,Ser/Plas,latest_prefix_cases
S-Prog,"S,P-Prog",14890-8,Ser/Plas,latest_prefix_cases
S-Prokaltsitoniin,"S,P-PCT",33959-8,Ser/Plas,latest_prefix_cases
S-Prol,"S,P-Prol",15081-3,Ser/Plas,latest_prefix_cases
S-Prol ,"S,P-Prol",15081-3,Ser/Plas,latest_prefix_cases
S-Prot,"S,P-Prot",2885-2,Ser/Plas,latest_prefix_cases
"s,p-R(Reumatoidfaktor)","S,P-RF",11572-5,Bld,latest_prefix_cases
S-PSA,"S,P-PSA",2857-1,Ser/Plas,latest_prefix_cases
"s,p-Salic(salitsulaadid)","S,P-Salic",4024-6,Ser/Plas,latest_parentheses_one_cases
"s,p-SHBG(1. Suguhormoone siduv globuliin)","S,P-SHBG",13967-5,Ser/Plas,latest_prefix_cases
"s,p-SHBG(Suguhormoone siduv globuliin)","S,P-SHBG",13967-5,Ser/Plas,latest_prefix_cases
"s,p-SHBG(Suguhormoone siduv globuliin VANA)","S,P-SHBG",13967-5,Ser/Plas,latest_parentheses_one_cases
"s,p-SHB(Suguhormoone siduv globuliin)","S,P-SHBG",13967-5,Ser/Plas,latest_parentheses_two_cases
"s,p-testo","S,P-Testo",14913-8,Ser/Plas,latest_name_cases
"s,p-Testosteroon(Testosteroon)","S,P-Testo",14913-8,Ser/Plas,latest_prefix_cases
"s,p-Testo(Testosteroon)","S,P-Testo",14913-8,Ser/Plas,latest_parentheses_one_cases
"s,p-Test(Testosteroon)","S,P-Testo",14913-8,Ser/Plas,latest_parentheses_two_cases
"s,p-TG(Tureoglobuliin)","S,P-TG",3013-0,Ser/Plas,latest_prefix_cases
S-PTH,"S,P-PTH",14866-8,Ser/Plas,latest_prefix_cases
"s,p-theoph","S,P-Theoph",4049-3,Ser/Plas,latest_name_cases
"s,p-Theoph(teofulliin)","S,P-Theoph",4049-3,Ser/Plas,latest_prefix_cases
"s,p-TnI(Troponiin I)","S,P-cTnI",10839-9,Ser/Plas,latest_prefix_cases
"s,p-Tn(Troponiin I)","S,P-cTnI",10839-9,Ser/Plas,latest_prefix_cases
"s,p-TPO IgG(Tureoidperoksudaasi vastane IgG)","S,P-TPO IgG",8099-4,Ser/Plas,latest_prefix_cases
"s,p-TPO Ig(Tureoidperoksudaasi vastane IgG)","S,P-TPO IgG",8099-4,Ser/Plas,latest_prefix_cases
"s,p-transf","S,P-Transf",3034-6,Ser/Plas,latest_name_cases
"s,p-transf-sr","S,P-Transf-sR",30248-9,Ser/Plas,latest_name_cases
"s,p-Transf-sR(Transferriini lahustuvad retseptorid)","S,P-Transf-sR",30248-9,Ser/Plas,latest_prefix_cases
"s,p-Transf-sR(transferriinilahustuvadretseptorid)","S,P-Transf-sR",30248-9,Ser/Plas,latest_prefix_cases
"s,p-Transf(Transferriin)","S,P-Transf",3034-6,Ser/Plas,latest_prefix_cases
"s,p-Transf(transferriin)","S,P-Transf",3034-6,Ser/Plas,latest_parentheses_one_cases
"s,p-Transf(Transferriin seerumis)","S,P-Transf",3034-6,Ser/Plas,latest_parentheses_one_cases
